summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak,queue,date
iHTDHZP9XClZsrwA3Isu2zGqQtNdn7G5QOcfqAAw7hGhbw,xusty1,447,I,66,34,False,False,False,False,challenger,14/03/2021
SgFa3nfDAuoGpGnG7TSlmVgoFCbW7bYqfBv_sZ0a2_jcEQ,lelo rawr,329,I,46,36,False,False,False,False,challenger,14/03/2021
cRB-9wpUBUH1xlUjZfV0JJHpm7xDWzUhiT9z8uB0mJxRhEY,refIections,377,I,56,42,False,False,True,False,challenger,14/03/2021
SeW9YZzv61e7maocsGXMkqlTN--TyRTVjuPmzZmXf-MhIw,CNB SuperCleber,332,I,294,290,True,False,False,False,challenger,14/03/2021
US_F5reC7zi_shjUPsvDQjd8kQHLkudWLbHZ0qj5JzCUklc,cabo joguinho,499,I,152,134,True,False,False,False,challenger,14/03/2021
zz6Ab1ZNqenEdlFZRY125LKlB-FIxI67CDaSaJw7JEMNig,FLA Bounty,607,I,134,118,False,False,False,True,challenger,14/03/2021
7UwF6cqGeflkZ70rvxf1pF-R9XpzmLXa2nTBG8kWf4ioI9E,E O BURROS,310,I,262,277,True,False,False,False,challenger,14/03/2021
AYYFLjy_jDsEe-9uYow3MwnHpYCkq4Zj3riFm87_OT4TlCA,ninfeta gostosa,495,I,75,63,False,False,False,False,challenger,14/03/2021
mrkmYmWKS01cfvXq-264hlNuNIBk_1OTEO65q4V9zil1iPQ,FaabiiN II,573,I,67,59,False,False,False,False,challenger,14/03/2021
dov9EJnQIVyDpH4XaXhTqru29cqMDhWzVt93Y4A4bb1wYw,Oldust FA,392,I,291,281,True,False,False,False,challenger,14/03/2021
mSvrS7Tbmb9X2BRvexxkRf_Jcu4k8ASw8pxq42uQa3_bwQ,GLX 2däN,378,I,69,49,False,False,True,False,challenger,14/03/2021
SPv_kvg4QO7sYJ6Rk1fUVFX-mvmEJM3I8ivqdJoVkx7xxPE,thug019,435,I,316,297,False,False,False,False,challenger,14/03/2021
